Tabla_AppSheet_Origen,Campo_AppSheet_Origen,Tabla_PostgreSQL_Destino,Campo_PostgreSQL_Destino,Tipo_de_Dato_o_Relacion,Explicacion_Arquitectonica
Operaciones Partners,Sexo,operaciones.partner,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Partners,Cuenta Corriente,operaciones.partner,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Partners,Comisión Nuevos,operaciones.partner,comision_nuevos,"NUMERIC(5, 2)",
Operaciones Partners,Comisión Renovaciones,operaciones.partner,comision_renovaciones,"NUMERIC(5, 2)",
Operaciones Partners,Contrato,operaciones.partner,contrato,VARCHAR(500),
Operaciones Partners,(derivado),operaciones.partner,activo,BOOLEAN,Derivado: True
Operaciones Planes,ID,operaciones.plan,appsheet_id,VARCHAR(50),
Operaciones Planes,Plan,operaciones.plan,plan,VARCHAR(200),
Operaciones Planes,Descripción,operaciones.plan,descripcion,TEXT,
Operaciones Productos,ID,operaciones.producto,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Productos,Producto,operaciones.producto,nombre,VARCHAR(200),
Operaciones Productos,Seguro,operaciones.producto,seguro_id,FK → operaciones.seguro,FK resuelta vía maps[...] (appsheet_id → id)
Operaciones Productos,Compañía,operaciones.producto,compania_id,FK → operaciones.compania,FK resuelta vía maps[...] (appsheet_id → id)
Operaciones Productos,Ramo,operaciones.producto,ramo_id,FK → operaciones.ramo,FK resuelta vía maps[...] (appsheet_id → id)
Operaciones Productos,Tipo Comisión,operaciones.producto,tipo_comision,VARCHAR(50),
Operaciones Productos,Canal,operaciones.producto,canal,VARCHAR(50),
Operaciones Productos,Convenio,operaciones.producto,convenio,VARCHAR(100),
Operaciones Productos,Tipo Renovación,operaciones.producto,tipo_renovacion,VARCHAR(50),
Operaciones Productos,Uso,operaciones.producto,uso,VARCHAR(50),
Operaciones Productos,Comisión Afecta,operaciones.producto,comision_afecta,"NUMERIC(5, 2)",
Operaciones Productos,Comisión Exenta,operaciones.producto,comision_exenta,"NUMERIC(5, 2)",
Operaciones Productos,PDF Cobertura,operaciones.producto,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Productos,(derivado),operaciones.producto,activo,BOOLEAN,Derivado: True
Operaciones Proveedores,ID,operaciones.proveedor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Proveedores,Rut,operaciones.proveedor,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Proveedores,Razón Social,operaciones.proveedor,rut_id,FK → datos.rut,Opción B: identidad en datos.rut vía rut_id
Operaciones Proveedores,Corto,operaciones.proveedor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Proveedores,Casa Matriz,operaciones.proveedor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Proveedores,Sucursal Asignada,operaciones.proveedor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Proveedores,Fono Matriz,operaciones.proveedor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Proveedores,Fono Sucursal,operaciones.proveedor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Proveedores,Página Web,operaciones.proveedor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Proveedores,Portal,operaciones.proveedor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Proveedores,Servicio,operaciones.proveedor,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Proveedores,(derivado),operaciones.proveedor,activo,BOOLEAN,Derivado: True
Operaciones Ramos,ID,operaciones.ramo,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Ramos,Ramo,operaciones.ramo,ramo,VARCHAR(100),
Operaciones Ramos,Código,operaciones.ramo,codigo,VARCHAR(20),
Operaciones Ramos,(derivado),operaciones.ramo,activo,BOOLEAN,Derivado: True
Operaciones Seguros,ID,operaciones.seguro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Operaciones Seguros,Seguro,operaciones.seguro,nombre,VARCHAR(100),
Operaciones Seguros,Perfil,operaciones.seguro,perfil,VARCHAR(100),
Operaciones Seguros,Info Técnica,operaciones.seguro,info_tecnica,TEXT,
Operaciones Seguros,Guia Corredor,operaciones.seguro,guia_corredor,TEXT,
Operaciones Seguros,Info Venta,operaciones.seguro,info_venta,TEXT,
Operaciones Seguros,(derivado),operaciones.seguro,activo,BOOLEAN,Derivado: True
Agenda Obligaciones,Entidad,agenda.obligacion,grupo_entidad_id,FK → grupos.grupo_entidad,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Agenda Obligaciones,Compañía,agenda.obligacion,compania_id,FK → operaciones.compania,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Agenda Obligaciones,Póliza,agenda.obligacion,poliza_id,FK → gestion.poliza,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Agenda Obligaciones,Partner,agenda.obligacion,partner_id,FK → operaciones.partner,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Agenda Obligaciones,Gestor,agenda.obligacion,gestor_id,FK → operaciones.gestor,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Agenda Tareas,Entidad,agenda.tarea,grupo_entidad_id,FK → grupos.grupo_entidad,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Agenda Tareas,Compañía,agenda.tarea,compania_id,FK → operaciones.compania,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Agenda Tareas,Póliza,agenda.tarea,poliza_id,FK → gestion.poliza,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Agenda Tareas,Partner,agenda.tarea,partner_id,FK → operaciones.partner,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Agenda Tareas,Gestor,agenda.tarea,gestor_id,FK → operaciones.gestor,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Comunicación Cobranza,Cliente,comunicacion.com_cobranza,grupo_cliente_id,FK → grupos.grupo_cliente,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Comunicación Cobranza,Contratante,comunicacion.com_cobranza,contratante_id,FK → datos.rut,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Comunicación Comisiones,Compañía,comunicacion.com_comision,compania_id,FK → operaciones.compania,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
Contabilidad Contables,Entidad,contabilidad.contable,grupo_entidad_id,FK → grupos.grupo_entidad,"PENDIENTE — declarado en spec, sin FK implementada (ver audit_relations)"
